area,methods,path,handler_module,handler_name,source_file,source_line,template,auth_required,js_callers
_shell,GET,/chat/dock,web.routes.chat,get_chat_dock,web/routes/chat.py,2113,_partials/shirley_dock.html,session,0
_shell,POST,/logout,web.routes.login,logout,web/routes/login.py,217,,session,0
_shell,POST,/shell/sidebar/toggle,web.routes.shell,toggle_sidebar,web/routes/shell.py,50,,session,0
admin,GET,/admin,web.routes.areas,admin_view,web/routes/areas.py,379,areas/admin.html;_partials/area_fragment.html,session,0
admin,GET,/admin/providers-credentials/openrouter/models,web.routes.provider_credentials,get_openrouter_models,web/routes/provider_credentials.py,925,_partials/openrouter_model_datalist.html,session,0
admin,GET,/admin/providers-credentials/section,web.routes.provider_credentials,get_provider_credentials_section,web/routes/provider_credentials.py,909,_partials/provider_credentials_section.html,session,0
admin,POST,/admin/providers-credentials/telegram/pair,web.routes.provider_credentials,generate_pairing_code,web/routes/provider_credentials.py,1075,_partials/provider_credentials_section.html,session,0
admin,POST,/admin/providers-credentials/telegram/unpair,web.routes.provider_credentials,revoke_pairing,web/routes/provider_credentials.py,1111,_partials/provider_credentials_section.html,session,0
admin,POST,/admin/providers-credentials/tenant,web.routes.provider_credentials,save_tenant_setting,web/routes/provider_credentials.py,1011,_partials/provider_credentials_section.html,session,0
admin,POST,/admin/providers-credentials/user,web.routes.provider_credentials,save_user_setting,web/routes/provider_credentials.py,1043,_partials/provider_credentials_section.html,session,0
admin,POST,/admin/users/create,web.routes.tenant_users,create_tenant_user,web/routes/tenant_users.py,337,_partials/tenant_users_section.html,session,0
admin,GET,/admin/users/section,web.routes.tenant_users,get_tenant_users_section,web/routes/tenant_users.py,322,_partials/tenant_users_section.html,session,0
admin,POST,/admin/users/{user_id}/deactivate,web.routes.tenant_users,deactivate_tenant_user,web/routes/tenant_users.py,378,_partials/tenant_users_section.html,session,0
admin,POST,/admin/users/{user_id}/reactivate,web.routes.tenant_users,reactivate_tenant_user,web/routes/tenant_users.py,411,_partials/tenant_users_section.html,session,0
